"There have been %s0 comments%s","There have been %s0 comments%s"
"There have been %s%s comment(s)%s","There have been %s%s comment(s)%s"
"Posted on %s by %s","Posted on %s by %s"
"This post was posted in","This post was posted in"
"Recent Posts","Recent Posts"
"Posted on %s at %s","Posted on %s at %s"
"Posts by ‘%s‘","作者 ‘%s‘"
"says","说"
"Post your comment","发送您的评论"
"Response to %s","回复评论 %s"
"Comments","评论"
"Name","名称"
"Email","邮件"
"Website","网站"
"Comment","评论"
"Home","主页"

"January","January"
"February","February"
"March","March"
"April","April"
"May","May"
"June","June"
"July","July"
"August","August"
"September","September"
"October","October"
"November","November"
"December","December"

"Monday","Monday"
"Tuesday","Tuesday"
"Wednesday","Wednesday"
"Thursday","Thursday"
"Friday","Friday"
"Saturday","Saturday"
"Sunday","Sunday"

"Next","下一页"
"Previous","上一页"

"Blog Search","搜索"
"Go","提交"
"Search our blog...","搜索博文..."
"You must be logged in to post a comment.","必须登录后才能评论."
"Response to %s", "关于 %s 的评论"
"Responses to %s", "条 关于 %s 的评论"
"on", "在"
"said:", "说："
