"%s already exist","%s已存在"
"%s already exists","%s已存在"
"-- Please Select --","-- 请选择 --"
"Add Block Names to Hints","在提示信息中增加区块名称"
"Add Secret Key to URLs","增加密钥到URL地址"
"Add Store Code to Urls","网址中加入商店码"
"Admin","管理员选项"
"Admin Base URL","管理基准 URL"
"Admin User Emails","管理用户邮件"
"Advanced","高级"
"Allow Countries","允许国家"
"Allowed IPs (comma separated)","允许的IP地址(用逗号分开)"
"Are you sure?","您确认吗？"
"Back","返回"
"Backup options","备份选项"
"Base JavaScript URL","基准JavaScript网址"
"Base Link URL","基准链接网址"
"Base Media URL","基准媒体网址"
"Base Skin URL","基准皮肤网址"
"Base URL","基准网址"
"Before modifying the store view code please make sure that it is not used in index.php.","在修改商店界面代码前，请确认没有在index.php中使用"
"Before modifying the website code please make sure that it is not used in index.php.","在修改网站代码前，请确认没有在index.php中使用"
"Block with name ""%s"" already exists","方框""%s""已存在"
"Blocks HTML output","区块 HTML 输出"
"Browser Capabilities Detection","浏览器功能检测"
"Cache storage may contain another data. Are you sure that you want flush it?","所有缓存里可能包含其他数据，您确认您要刷新吗？"
"Can't retrieve request object","无法获取请求的对象"
"Can\'t retrieve entity config: %s","无法获取实体配置：%s"
"Cancel","取消"
"Cannot Delete Email Template","不能删除电子邮件模板"
"Cannot complete this operation from non-admin area.","无法在非管理区完成此操作。"
"Card type doesn\'t match credit card number","信用卡类型与信用数字不符"
"Category object is required for determining product request path","确定商品请求路径需要分类对象"
"Code","代码"
"Collections Data","集合(Collections)数据"
"Configuration","配置"
"Controller file was loaded but class does not exist","控制文件已加载但类不存在"
"Cookie Domain","Cookie 域"
"Cookie Lifetime","Cookie 时效"
"Cookie Path","Cookie 路径"
"Copyright","版权信息"
"Countries Options","国家选项"
"Create Store","新建商店"
"Create Store View","新建商店界面"
"Create Website","新建网站"
"Credit card number doesn\'t match credit card type","信用卡数字与信用卡类型不符"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron(定时作业) - 所有时间以分钟为单位"
"Current package name","当前安装包名称"
"Custom Design","客户定制"
"Custom Admin URL","自定义后台管理URL"
