"%s Index proces is working now. Please try run this process later.","%s 索引进程工作中. 请稍后再运行."
"%s index was rebuilt successfully.","%s 索引重建成功."
"%s index was rebuilt.","%s 索引重建成功."
"'%s' Index Process Information","'%s' 索引进程信息"
"Action","行为"
"Can\'t initialize indexer process.","不能初始化索引进程."
"Change Index Mode","改变索引模式"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","点击这里到 <a href=""%s"">缓存管理</a>刷新缓存."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","点击这里到 <a href=""%s"">索引管理</a>重建索引."
"Description","描述"
"Disable","禁用"
"Enable","激活"
"General","普通"
"Index","索引"
"Index Description","索引描述"
"Index Management","索引管理"
"Index Mode","索引模式"
"Index Name","索引名"
"Index mode","索引模式"
"Index was saved successfully.","索引已经保存成功."
"Indexer code is not defined.","索引器的代码没有定义."
"Indexer model is not defined.","索引模式没有定义."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","索引模块应该集成于Mage_Index_Model_Indexer_Abstract."
"Last Run","上次运行"
"Manual Update","手动修改"
"Mode","模式"
"Never","从不"
"One or more of the Indexes are not up to date:","一个或者多个索引不是最新的:"
"Pending Events","等待事件"
"Please select Index(es)","请选择一个或多个索引"
"Please select Indexes","请选择索引"
"Process Information","进程信息"
"Processing","进程"
"Ready","就绪"
"Refresh","刷新"
"Reindex Data","重建数据"
"Reindex Required","需要重建"
"Some problem with reindexing process.","重建索引进程有些问题."
"Some problem with saving process.","保存进程有些问题."
"Status","状态"
"System","系统"
"Total of %d index(es) have successfully reindexed data","总共有 %d 个索引被重建"
"Total of %d index(es) have reindexed data.","总共有 %d 个索引被重建"
"Total of %d index(es) have changed index mode.","总共有 %d 个索引被更改模式"
"Update on Save","保存更新"
