"--Please Select--","--请选择--"
"<label>Make Check payable to:</label> %s","<label>支票收款人</label> %s"
"<label>Make Check payable to</label>: %s","<label>支票收款人</label>：%s"
"Automatically invoice all items","自动忽略所有条项"
"Can not configuration for payment method with code: %s","无法设置支付方式代码：%s"
"Can not retrieve payment info model object.","无法获取支付信息模块对象。"
"Can not retrieve payment method instance","无法获取支付方式实例"
"Can not retrieve payment method model object.","无法获取支付方式模块对象。"
"Card Verification Number","信用卡校验号"
"Check / Money order","支票/汇票"
"Credit Card Number","信用卡号码"
"Credit Card Number: %s","信用卡号码：%s"
"Credit Card Number: xxxx-%s","信用卡号码: xxxx-%s"
"Credit Card Type","信用卡类型"
"Credit Card Type: %s","信用卡类型：%s"
"Credit Card Types","信用卡类型"
"Credit Card Verification","信用卡核对"
"Cash On Delivery","货到付款"
"Display Zero Fee","显示零收费"
"Shipment to applicable countries","适用国家"
"Shipment to Specific countries","特定国家"
"Costs for inland shipping","运到国内费用"
"Costs for shipping to foreign countries","运到国外费用"
"Custom text for checkout page","结帐页面的自定义文本"
"Disallow specific shipping methods","禁止具体的运输方式"
"Disallowed shipping methods","禁止运输方法"
"Purchase Order","采购订单"
"Enabled","启用"
"Expiration Date","有效期"
"Expiration Date: %s/%s","有效期：%s/%s"
"Make Check Payable to","支票收款人"
"Make Check payable to: %s","支票收款人：%s"
"Maximum Order Total","最高订单金额"
"Minimum Order Total","最低订单金额"
"Month","月份"
"Name on Card","持卡人姓名"
"Name on the Card: %s","持卡人姓名：%s"
"New Order Status","新订单状态"
"Payment Methods","支付方式"
"Payment Methods Section","支付方式单元"
"Payment from Specific Countries","指定国家支付"
"Payment from Applicable Countries","适用国家支付"
"Purchase Order Number","购货合同号"
"Purchase Order Number: %s","购货合同号：%s"
"Purchase order","购货合同"
"Saved CC","信用卡支付"
"Alipay Payment","支付宝结账"
"Send Check to","支付寄给"
"Send Check to:","支付寄给："
"Sort order","排序"
"Title","标题"
"What is this?","这是什么？"
"Year","年份"
"Zero Subtotal Checkout","零金额结帐"
"Automatically Invoice All Items","全部自动生产销售单据"
"Service Type","商品类型"
"Partner ID","合作ID"
"Security Code","安全码"
"Gateway","接口URL"
"Seller Email","支付宝账号"
"Transport","传输类型"
"Order status when payment accepted by Alipay","支付宝支付成功后的订单状态"
"Order status when payment refused by Alipay","支付宝支付失败后的订单状态"
