"ALL","全部"
"ANY","之一"
"Add","增加"
"Apply","应用"
"Description: %s","说明：%s"
"Expire at: %s","有效期：%s"
"FALSE","假"
"If %s of these conditions are %s:","如果这些条件%s为%s："
"MATCHING ALL","匹配所有"
"MATCHING ANY","匹配任何"
"NOT MATCHING ALL","全不匹配"
"NOT MATCHING ANY","不匹配任何"
"Name: %s","姓名：%s"
"Open Chooser","打开选择"
"Perform following actions","执行以下操作"
"Please choose a condition to add...","请选择要增加的条件..."
"Please choose an action to add...","请选择要增加的操作..."
"Remove","删除"
"Start at: %s","开始：%s"
"TRUE","真"
"by","于"
"to","到"
"is","是"
"is not","不是"
"greater than","大于"
"contains","包含"       
"less than","少于"
"does not contain","不包含"
"is one of","是其中之一"
"is not one of","不是其中之一"
"equals or greater than","等于或者大于"
"equals or less than","等于或少于"
