"%s was added to your shopping cart.","%s 已经加入您的购物车"
" The customer doesn\'t exist in the system anymore","该客户已不存在系统中"
"""%s"" coupon code is not valid.","""%s""优惠券号码不正确。"
"%s order(s) have been canceled.","%s 订单成功取消"
"%s order(s) successfully put on hold","%s个订单状态已锁定"
"%s order(s) successfully released from holding status","%s 订单成功解锁"
"(Total Shipping Charges %s)","(共计运费 %s)"
"* - Enter custom price excluding tax","* - 输入优惠价格"
"* - Enter custom price including tax","* - 输入优惠价格"
"About This Order:","关于该订单："
"About Your Order","关于您的订单"
"Account Information","帐号信息"
"Action","操作"
"Actions","批量操作"
"Add","增加"
"Add Gift Messsage","添加礼物留言"
"Add New Address","增加新地址"
"Add Order Comments","添加订单备注"
"Add Products","添加产品"
"Add Selected Product(s) to Option","所选商品加入选项"
"Add Selected Product(s) to Order","所选商品加入订单"
"Add To Order","加入订单"
"Add Tracking Number","添加配送追踪号"
"Add a gift message for <strong>each gift item</strong>","增加<strong>每件礼物</strong>的礼物留言"
"Add a gift message for the <strong>entire order</strong>","增加<strong>整个订单</strong>的礼物留言"
"Add comment to order","添加订单评论"
"Add new comment to shipment","添加新配送评论"
"Add new tracking number","添加新的订单追踪号"
"Add to Cart","加入购物车"
"Address","地址"
"Adjustment Fee","扣款金额"
"Adjustment Fee:","扣款金额："
"Adjustment Refund","退还运费"
"Adjustment Refund:","退还运费："
"Allow Reorder","允许重复订单"
"Amount","金额"
"Append Comments","增加备注"
"Apply","应用"
"Apply Coupon Code","使用优惠券"
"Are you sure you want to cancel this order?","您确认要取消该订单吗？"
"Use Aggregated Data (beta)","使用汇总数据（试用版）"
"Improves dashboard performance but provides non-realtime data.","提高了仪表板的性能，但提供非实时数据。"
"Are you sure?","您确认吗？"
"Are you sure? This order will be canceled and a new one will be created instead","您确认吗？该订单将被取消并会生成新订单"
"Back to My Orders","返回我的订单"
"Backordered","缺货订单"
"Bill to First name","账单名字"
"Bill to Last name","账单姓氏"
"Bill to Name","账单姓名"
"Billing Address","账单地址"
"Buy %s for price %s","购买 %s每件%s"
"Can not add order history.","无法增加订单日志。"
"Can not create block ""%s""","无法创建方框""%s"""
"Can not do invoice for order.","无法生产订单单据."
"Can not do shipment for order.","无法执行订单配送。"
"Can not register existing creditmemo","无法登记已有付款"
"Can not register existing invoice","无法登记已有单据"
"Can not register existing shipment","无法登记已有配送"
"Can\'t get order instance","无法获取订单实例"
"Cancel","取消"
"Cancel invoice","取消单据"
"Cancel order","取消订单"
"Canceled","已取消"
"Cannot create an empty shipment.","不能创建空配送单."
"Capture","获取"
"Capture Amount","获取付款"
"Capture Offline","离线接收"
"Capture Online","在线接收"
"Capture invoice","获取单据"
"Carrier","快递公司"
"Change Status","变换状态"
"Change status, add comments","改变状态，添加评论"
"Checkout Totals Sort Order","总额计算顺序"
"Click to change shipping method","点击修改配送方式"
"Closed","已退货"
"Comment","备注"
"Comment Text","备注文字"
"Comments","评论"
"Comments History","订单历史记录备注"
"Complete","已完成"
"Country","国家"
"Coupons","优惠券"
"Create","创建"
"Create New Customer","新建客户"
"Create New Order","新建订单"
"Create New Order for %s","创建%s的订单"
"Create New Order for %s in %s","创建%s的新订单于%s"
"Create New Order for New Customer","创建新客户的订单"
"Create New Order for New Customer in %s","创建新客户的订单于%s"
"Create Shipment","生成配送"
"Create new invoice for order","创建订单单据"
"Create new shipment for order","创建配送单"
"Created At","创建时间"
"Credit Memo","退货"
"Credit Memo #","退货单号"
"Credit Memo # ","退货单号 "
"Credit Memo Comment Email Sender","退货备注邮件的发件人"
"Credit Memo Comment Email Template","退货备注邮件的模板"
"Credit Memo Comment Email Template for Guest","访客的退货备注邮件的模版"
"Credit Memo Comments","退货备注"
"Credit Memo Email Sender","退货邮件的发件人"
"Credit Memo Email Template","退货邮件的模板"
"Credit Memo Email Template for Guest","访客的退货邮件的模板"
"Credit Memo Update","退货更新"
"Credit Memo Update for Guest","更新访客的退货"
"Credit Memo email not sent","退货邮件未发出"
"Credit Memo email sent","退货邮件已发出"
"Credit Memos","退货记录"
"Creditmemo","退款"
"Custom Options","自定义选项"
"Custom Value","自定义值"
"Customer Group","客户分组"
"Customer Name","客户姓名"
"Customer's Current Activities","客户当前活动"
"Date","日期"
"Date Shipped","配送日期"
"Date Of Birth","生日"
"Delete","删除订单"
"Description Message","信息描述"
"Discount","优惠折扣"
"Discount ","优惠折扣 "
"Discount (%s)","优惠 (%s)"
"Discount :","优惠折扣："
"Discount Amount","优惠金额"
"Discount%s","优惠%s"
"Display Order ID in Header","在头部显示订单ID"
"Document","文档"
"Don\'t specified PDF object","没有指定PDF对象"
"Don\'t specified PDF page object","Don\'t specified PDF page object"
"Don\'t specified item object","Don\'t specified item object"
"Don\'t specified order object","Don\'t specified order object"
"Don\'t specified source object","Don\'t specified source object"
"Edit","编辑订单"
"Edit Gift Messsage","修改礼物留言"
"Edit Order","编辑订单"
"Edit Order #%s","编辑订单 %s"
"Display Order ID in Header","在顶部显示订单号"
"Email","电子邮件"
"Email Copy of Credit Memo","抄送退货邮件到"
"Email Copy of Invoice","抄送单据邮件到"
"Email Copy of Shipment","抄送配送邮件到"
"Email Order Confirmation","订单确认邮件"
"Enable","启用"
"Enabled","已启用"
"Error to Show in Shopping Cart","购物车错误显示"
"Excl. Tax","不含税"
"From","来自"
"From Name","姓名"
"From:","来自："
"G.T. (Base)","基准总价"
"G.T. (Purchased)","总价"
"Get shipping methods and rates","查询配送方式和价格"
"Gift","礼物"
"Gift Certificate","礼物收据"
"Gift Message","留言"
"Gift Message for Entire Order","整个订单的礼物留言"
"Gift Message for this Order","该订单的礼物留言"
"Grand Total","总计"
"Grand Total to be charged","应付款总计"
"Grand Total:","总计："
"Guest","访客"
"Hold","订单锁定"
"Hold action is not available","等待操作不可用"
"Hold order","锁定订单"
"ID","编号"
"If empty, the default description above will be used.","如果为空,将会使用上面的默认值"
"If empty, the default error above will be used.","如果为空,将会使用上面的默认报错信息"
"Incl. Tax","含税"
"Information","信息"
"Invalid block: %s","无效块: %s"
"Invalid carrier specified.","指定承运人无效."
"Invalid draw line data. Please define ""lines"" array","画线数据无效. 请定义 ""lines"" array"
"Invalid item option format","商品选项格式不正确"
"Invalid qty to invoice item ""%s""","单据商品""%s""的数量不正确"
"Invalid qty to refund item ""%s""","退款商品""%s""的数量不正确"
"Invalid qty to ship for item ""%s""","发货商品""%s""的数量不正确"
"Invalid renderer model","Invalid renderer model"
"Invalid request for adding product to quote","Invalid request for adding product to quote"
"Invoice","单据"
"Invoice #","单据号"
"Invoice # ","单据号"
"Invoice #%s","单据号%s"
"Invoice Comment Email Sender","单据备注邮件的发件人"
"Invoice Comment Email Template","单据备注邮件的模板"
"Invoice Comment Email Template for Guest","访客的单据备注邮件的模版"
"Invoice Comments","单据备注"
"Invoice Date","单据日期"
"Invoice Email Sender","单据邮件的发件人"
"Invoice Email Template","单据邮件的模板"
"Invoice Email Template for Guest","访客的单据邮件的模板"
"Invoice Update","单据更新"
"Invoice Update for Guest","访客的单据更新"
"Invoice and Packing Slip Design","单据和配送单设计"
"Invoice can not be canceled","单据不能取消"
"Invoice can not be captured","Invoice can not be captured"
"Invoice can not be void","单据不能为空"
"Invoice cancel problem","单据取消出错"
"Invoice capture problem","单据获取出错"
"Invoice email not sent","单据邮件未发送"
"Invoice email sent","单据邮件已发送"
"Invoice void problem","单据不能为空"
"Invoiced","已出单据"
"Invoices","单据信息"
"Item","商品"
"Item Status","商品状态"
"Item object is not specified.","未指定商品。"
"Item option with code %s already exist","代码为 %s 的商品选项已存在"
"Item options declare error","声明商品选项出现错误"
"Item ordered qty","订购商品数量"
"Item qty declare error","公布商品数量出现错误"
"Items Invoiced","发票商品"
"Items Ordered","订购商品"
"Items Refunded","退款商品"
"Items Shipped","商品已配送"
"Items options declare error.","Items options declare error."
"Items to Invoice","单据商品"
"Items to Refund","退款商品"
"Items to Ship","配送商品"
"Last ordered items","最后订购商品"
"Link to the New Order","新订单的链接"
"Link to the Previous Order","历史订单的链接"
"Logo (200x50)","图标 (200x50)"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo 仅用于 HTML 文档。放空则使用缺省 logo。<br />(jpeg, gif, png)"
"Logo for HTML print view","HTML 打印视图 Logo "
"Logo for PDF Print-outs (200x50)","PDF 输出 Logo (200x50)"
"Message","内容"
"Message:","内容："
"Minimum Amount","最低额度"
"Minimum Order Amount","最低订单额"
"Mixed","混合"
"Move to Shopping Cart","移至购物车"
"Move to Wishlist","移至收藏"
"Multi-address Description Message","多地址结帐说明信息"
"Multi-address Error to Show in Shopping Cart","多地址结帐购物车错误提示"
"My Orders","我的订单"
"My Orders - Details","我的订单 - 详细"
"Name","名字"
"New","新增"
"New Credit Memo","新的退款"
"New Credit Memo for Guest","访客的新退款"
"New Invoice","新单据"
"New Invoice for Guest","访客的新单据"
"New Order","新订单"
"New Order Confirmation Email Sender","新订单确认邮件的发件人"
"New Order Confirmation Template","新订单确认邮件的模板"
"New Order Confirmation Template for Guest","访客的新订单确认邮件的模版"
"New Order RSS","新订单的RSS"
"New Order for Guest","访客的新订单"
"New Shipment","新配送"
"New Shipment for Guest","访客的新配送"
"New Shipment for Order #%s","订单 #%s产生的新的发货单"
"New Status","新状态"
"Newsletter Subscription","邮件列表订阅"
"No Items","无商品"
"No Items To Refund","无退款商品"
"No Payment Methods","没有支付方式"
"No detail for number ""%s""","没有编号""%s""的细节"
"No items","没有商品"
"No ordered items","无订购商品"
"No shipping information available","没有有用的配送信息"
"Not Capture","不接收"
"Not Notified","未通知"
"Notified","已通知"
"Notify Customer","通知客户"
"Number","快递单号"
"On Hold","已锁定"
"Order","订单"
"Order #","订单号"
"Order # ","订单号 "
"Order # %s","订单号 %s"
"Order #%s","订单号%s"
"Order #%s - %s","订单号%s - %s"
"Order API","Order API"
"Order Comment","订单备注"
"Order Comment Email Sender","订单备注邮件的发件人"
"Order Comment Email Template","订单备注邮件的模板"
"Order Comment Email Template for Guest","访客的订单备注邮件的模板"
"Order Comments","订单备注"
"Order Credit Memos","Order Credit Memos"
"Order Currency:","订单货币："
"Order Date","订单日期"
"Order Date (%s)","订单日期 (%s)"
"Order Date: ","订单日期："
"Order Date: %s","订单日期：%s"
"Order Details","订单详情"
"Order Grand Total","订单总价"
"Order History","订单记录"
"Order Information","订单信息"
"Order Invoices","订单单据"
"Order Shipments","订单配送"
"Order Status","订单状态"
"Order Subtotal","订单小计"
"Order Subtotal:","订单小计："
"Order Total","订单总额"
"Order Totals","订单总额"
"Order Update","订单更新"
"Order Update for Guest","访客的订单更新"
"Order View","订单查看"
"Order invoice","订单单据"
"Order object is not specified.","未指定订单对象。"
"Order saving error: %s","保存订单出错：%s"
"Order shipments","订单配送"
"Order was not cancelled.","订单未取消。"
"Order was not put on hold.","订单未被锁定。"
"Order was not unholded.","订单未解锁。"
