"-- Please Select --","-- 请选择 --"
"Add New Class","增加新税种"
"Add New Tax Rate","增加新税率"
"Add New Tax Rule","增加新税则"
"Apply Discount On Prices Including Tax","Apply Discount On Prices Including Tax"
"Apply Tax After Discount","Apply Tax After Discount"
"Apply Tax On","Apply Tax On"
"Are you sure you want to do this?","您确认要这么做吗？"
"Back","返回"
"CSV","CSV"
"Catalog prices include tax","Catalog prices include tax"
"Class Name","税种名称"
"Code","Code"
"Country","国家"
"County","国家"
"Custom price if available","Custom price if available"
"Customer Tax Class","客户税种"
"Customer Tax Class Information","客户税种信息"
"Customer Tax Classes","客户税种"
"Default Country","Default Country"
"Default Post Code","Default Post Code"
"Default State","Default State"
"Delete Class","删除税种"
"Delete Rate","删除税率"
"Delete Rule","删除税则"
"Display Cart/Order Prices","Display Cart/Order Prices"
"Display Product Prices","Display Product Prices"
"Display Shipping Prices","Display Shipping Prices"
"Display full tax summary","Display full tax summary"
"Edit Class","修改税率"
"Edit Class '%s'","修改税种'%s'"
"Edit Rule","修改税则"
"Edit Tax Rate","修改税率"
"Error while deleting this class. Please try again later.","删除该税种时出错，请稍后重试。"
"Error while deleting this rate. Incorrect rate ID","删除该税率时出错，税率编号不正确"
"Error while deleting this rate. Please try again later.","删除该税率时出错，请稍后重试。"
"Error while deleting this tax rule. Please try again later.","删除该税则时出错，请稍后重试。"
"Error while saving this rate. Please try again later.","保存该税率时出错，请稍后重试。"
"Error while saving this tax class. Class with the same name ","保存该税种时出错，税种名重复"
"Error while saving this tax class. Please try again later.","保存该税种时出错，请稍后重试。"
"Error while saving this tax rule. Please try again later.","保存该税则时出错，请稍后重试。"
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Error while saving this tax rule. This product tax class, customer tax class and tax rate combination"
"Excl. Tax","不含税"
"Excluding tax","Excluding tax"
"Export Tax Rates","导出税率"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignored when 'Apply Tax After Discount' option is enabled"
"Import / Export Tax Rates","导入/导出税率"
"Import Tax Rates","导入税率"
"Inc. Tax","含税"
"Incl. Tax","含税"
"Including and excluding tax","Including and excluding tax"
"Including tax","Including tax"
"Incorrect rate Data","税率数据不正确"
"Invalid data for tax rate calculation","税率计算数据不正确"
"Invalid file format upload attempt","上传文件格式不正确"
"Invalid file upload attempt","上传文件不正确"
"Manage Customer Tax Classes","管理客户税种"
"Manage Product Tax Classes","管理商品税种"
"Manage Tax Rates","管理税率"
"Manage Tax Rules","管理税则"
"Manage Tax Zones & Rates","Manage Tax Zones & Rates"
"Name","Name"
"New Class","新税种"
"New Rule","新税则"
"New Tax Rate","新税率"
"None","None"
"One of the country has invalid code.","One of the country has invalid code."
"Original price only","Original price only"
"Please select Country","请选择国家"
"Please select County","请选择国家"
"Please select State","请选择省份"
"Priority","Priority"
"Product Tax Class","商品税种"
"Product Tax Class Information","商品税种信息"
"Product Tax Classes","商品税种"
"Rate","Rate"
"Reset","重置"
"Sales","销售"
"Save Class","保存税种"
"Save Rate","保存税率"
"Save Rule","保存规则"
"Shipping prices include tax","Shipping prices include tax"
"Sort Order","Sort Order"
"State","省份"
"State/Region","省份/地区"
"Tax","税"
"Tax Based On","Tax Based On"
"Tax Class for Shipping","Tax Class for Shipping"
"Tax Identifier","Tax Identifier"
"Tax Rate","税率"
"Tax Percent","税比率"
"Tax Rate Information","税率信息"
"Tax Rule Information","税则信息"
"Tax Rules","税则"
"Tax Titles","Tax Titles"
"Tax class was successfully deleted","成功删除税种"
"Tax class was successfully saved","成功保存税种"
"Tax rate was successfully deleted","成功删除税率"
"Tax rate was successfully imported","成功导入税率"
"Tax rate was successfully saved","成功保存税率"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"Tax rule was successfully deleted","成功删除税则"
"Tax rule was successfully saved","成功保存税则"
"This class no longer exists","该类已不存在"
"This rule no longer exists","该规则已不存在"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","该税种用于%d客户组，不能删除 ."
"You cannot delete this tax class as it is used for %d products.","该税种用于%d商品，不能删除"
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","该税种用于税则中，不能删除，要先删除使用它的税则。"
"Zip/Post Code","邮编"
