"Sweet Tooth Points and Rewards","积分" 
"Sweet Tooth Rewards","积分管理"
"Rewards","积分"
"Configuration","积分设置"
"Customer Points","客户积分"
"Catalog Points Earning Rules","目录积分获取规则"
"Catalog Points Earning Rule","目录积分获取规则"
"Add New Catalog Earning Rule","新建目录积分获取规则"
"Shopping Cart Points Earning Rules","购物车积分获取规则"
"Shopping Cart Points Earning Rule","购物车积分获取规则"
"Add New Cart Earning Rule","新建购物车积分获取规则"
"Customer Behavior Points Rules","客户行为积分获取规则"
"Customer Behavior Rule","客户行为积分获取规则"
"Add New Customer Behavior Rule","新建客户行为积分获取规则"
"Catalog Points Spending Rules","目录积分使用规则"
"Catalog Points Spending Rule","目录积分使用规则"
"Add New Catalog Spending Rule","新建目录积分使用规则"
"Shopping Cart Points Spending Rules","购物车积分使用规则"
"Shopping Cart Points Spending Rule","购物车积分使用规则"
"Add New Cart Spending Rule","新建购物车积分使用规则"
"Public In RSS Feed","发布 RSS 动态"
"Discount Style","折扣方式"
"Customer Spends","用户兑换方式"
"Other Transfers","所有其他转换"
"All Points Transfers","所有其他转换"
"Add New","新建"
"Customer Point Earnings","客户积分分配"
"Friend's Email:","朋友的邮箱:"
"Uses Allowed Per Product (0 for unlimited)","允许使用的商品数量 (0 没有限制)"
"Customer Group Is","会员分组"
"Customer Earning Style","会员获取积分方式"
"Apply the rule actions only to cart items matching the following conditions (leave blank for all items)","仅以下条件成立才应用规则 (所有商品留空)"
"Registration Information","注册信息"
"Serial Key","序列号"
"Registered Company Name","注册公司名"
"Registered Phone Number","注册公司电话"
"Migration Utilities","工程迁移"
"Export Configuration","导出配置"
"Revert Config","恢复配置"
"Delete and Import Config","删除并导入配置"
"Export Campaign","导出规则"
"Delete Campaign","删除规则"
"Delete and Import Campaign","删除并导入规则"
"Customer Rewards","积分"
"Not enough points for transaction. You have %s, but you need %s","您没有足够的积分购买此商品. 您有 %s, 但是您需要 %s"
"Sent points to a friend, ","送积分给朋友, "
"Received points from a friend, ","收到朋友给的积分, "
"You received %s for signing up!","您注册后获得了 %s !"
"Could not transfer points.","积分无法转换."
"You received %s for signing up to a newsletter","您订阅新闻报后获得了 %s"
"Could not interface with customer rewards system.","无法连接客户奖励制度。"
"You received %s for voting","您投票获得了 %s"
"Please log in, or sign up to apply point redemptions!","请登录或注册申请积分兑换!"
"Unable to load the redeem points hash","无法加载积分兑换"
"You will receive %s upon approval of this review","此评论批准后您将获得 %s"
"You received %s for sending your friend this product","此产品发给您的朋友您获得 %s"
"No points","0 积分"
"No points","0 积分"
"No Points","0 积分"
"Points","积分"
"Point","积分"
"You will receive %s upon approval of this tag.","此标签批准后您将获得 %s."
"Click to see a breakdown of how your points affect this line item.","点击看到故障点是如何影响您的本项。"
"Points Spent","使用"
"No points.","没有积分."
"Points Earned","获得"
"as low as","as low as"
"Redeem Your Points","兑换您的积分"
"Send Points to a Friend","送积分给您的朋友"
"Transfer Manager","转换管理"
"Currency Manager","单位管理"
"Add Currency","新增单位"
"Special Points Rules","特殊积分规则"
"Add New Special Rule","增加新规则"
"Spends X Points","使用X积分"
"Spends X points for every Y dollar amount in price","每Y元使用X积分"
"[WARN:ALPHA] For every X points spent, discount Y from price","[警告:ALPHA] For every X points spent, discount Y from price"
"--Don\'t Transfer Points--","--Don\'t Transfer Points--"
"Give X points to customer","固定给客户(X)点积分"
"For every Y dollar amount in price, give X points","每满(Y)元可获得(X)点积分(应用于产品目录价格)"
